Utility,Year,Measurement (service lines),size,Match,PWSID,MatchType
Veolia Water New Jersey Toms River ,2022,134,Large,SUEZ Water NJ Toms River,NJ1507005,manual
NJ American Water - Sunbury,2022,0,Small,Sunbury,NJ0329006,manual
Veolia Water New Jersey - Sunset Ridge,2022,0,Small,Sunset Ridge,NJ1922011,manual
Surf City Water Department,2022,0,Small,Surf,NJ1531001,manual
Sussex Borough Water Department,2022,1,Small,Sussex,NJ1905004,manual
Veolia Water New Jersey - Sussex Hills,2022,2,Small,Sussex HIlls,NJ1922006,manual
Swedesboro - Drinking Water,2022,29,Medium,Swedesboro,NJ0817001,manual
The Oaks of Weymouth Water Company,2022,0,Small,The Oaks of Weymouth WC,NJ0123002,manual
Totowa Water Department,2022,0,Medium,Totowa,NJ1612001,manual
Trenton Water Works - Drinking Water,2022,16257,Large,Trenton,NJ1111001,manual
Tuckerton Borough Water Department,2022,0,Small,Tuckerton,NJ1532002,manual
NJ American Water - Twin Lakes,2022,2,Small,Twin Lakes,NJ1803002,manual
NJ American Water - Union Beach,2022,1,Medium,Union Beach,NJ1350001,manual
Upper Deerfield Township Water Department,2022,0,Medium,Upper Deerfield Twp WD,NJ0613004,manual
Ventnor City Water Utility,2022,5097,Medium,Ventnor,NJ0122001,manual
Veolia Water New Jersey - Vernon Valley,2022,0,Small,Vernon Valley,NJ1922026,manual
Verona Township - Drinking Water,2022,6,Large,Verona,NJ0720001,manual
NJ American Water - Vincentown,2022,7,Small,Vincentown,NJ0333004,manual
Vineland Water Utility,2022,5934,Large,Vineland,NJ0614003,manual
Waldwick Water Department,2022,8,Medium,Waldwick,NJ0264001,manual
Wall Township Water Department,2022,27,Large,Wall,NJ1352003,manual
Wallington Water Department,2022,45,Large,Wallington,NJ0265001,manual
Veolia Water New Jersey - Walnut Hills,2022,0,Small,Walnut Hills,NJ1922015,manual
Wanaque Water Department,2022,0,Medium,Wanaque,NJ1613002,manual
Washington Township Municipal Utilities Authority (WTMUA) - Drinking Water,2022,0,Large,Washington Twp MUA,NJ0818004,manual
"Washington Township Municipal Utilities Authority (WTMUA) - Drinking Water, Hager",2022,0,Small,Washington Twp MUA - Hager,NJ1438003,manual
"Washington Township Municipal Utilities Authority (WTMUA) - Drinking Water, Schooleys Mountain",2022,0,Medium,Washington Twp MUA - Schooleys Mountain,NJ1438004,manual
NJ American Water - Washington/Oxford,2022,221,Medium,Washington/Oxford,NJ2121001,manual
Waterford Township Water Department,2022,0,Medium,Waterford,NJ0435003,manual
Wenonah Water Department,2022,3,Small,Wenonah,NJ0819001,manual
West Caldwell Water Department,2022,145,Medium,West Caldwell WD,NJ0721001,manual
West Cape May Water Department,2022,17,Small,West Cape May WD,NJ0512001,manual
West Deptford Township Water Department,2022,7,Large,West Deptford Twp WD,NJ0820001,manual
NJ American Water - Western Division,2022,2751,Large,Western Division,NJ0327001,manual
Westville Water Department,2022,0,Medium,Westville,NJ0821001,manual
Weymouth Township Municipal Utilities Authority,2022,78,Small,Weymouth,NJ0123001,manual
Wharton Water Department,2022,138,Medium,Wharton,NJ1439001,manual
Wildwood City Water Department,2022,7349,Large,Wildwood,NJ0514001,manual
Willingboro Municipal Utilities Authority (WMUA) - Drinking Water,2022,0,Large,Willingboro,NJ0338001,manual
Winslow Township Municipal Utilities Department - Sicklerville/Ivystone,2022,0,Large,Winslow,NJ0436010,manual
Woodbine Municipal Utilities Authority,2022,0,Small,Woodbine MUA,NJ0516001,manual
Woodbury City Water Department,2022,0,Medium,Woodbury City WD,NJ0822001,manual
Woodbury Heights Water Utility,2022,0,Medium,Woodbury Heights WU,NJ0823001,manual
Woodland Park Water Department,2022,0,Medium,Woodland,NJ1615022,manual
Veolia Water New Jersey - Woodridge Estates,2022,2,Small,Woodridge Estates,NJ1924004,manual
Woodstown - Drinking Water,2022,2,Medium,Woodstown,NJ1715001,manual
Wrightstown Municipal Utilities Authority - Drinking Water,2022,0,Small,Wrightstown,NJ0340001,manual
Blairstown Township Water Department,2022,21,Small,Township of Blairstown DPW,NJ2104001,manual
Camden City Water Department - NJ American Water,2022,10709,Large,City of Camden,NJ0408001,manual
Madison Water Department,2022,35,Large,,,none
"Mount Olive Township - Drinking Water, Flanders",2022,0,Medium,,,none
NJ American Water - Mount Olive - West Jersey,2022,79,Small,,,none
NJ American Water - Passaic Basin,2022,7210,Large,NEW JERSEY AMERICAN WATER COMPANY - PASSAIC BASIN,NJ0712001,lookup
Passaic Valley Water Commission - Postbrook,2022,0,Small,,,none
Rahway Water Department - Veolia,2022,473,Large,SUEZ Water NJ - Rahway,NJ2013001,manual
Spring Lake Heights Borough - Drinking Water,2022,11,Medium,Boro of Spring Lake Heights WD,NJ1349001,manual
Veolia Bayonne Operations ,2022,2673,Large,City of Bayonne,NJ0901001,manual
Veolia Water Manalapan - Millhurst,2022,0,Small,SUEZ Water Manalapan Milhurst,NJ1326005,manual
Veolia Water Manalapan - Tracey Station,2022,0,Small,Manalapan Twp WD - Tracy Station,NJ1326007,manual
Veolia Water New Jersey - Bald Eagle Village (formerly West Milford),2022,0,Small,,,none
Wayne Township - Drinking Water,2022,53,Large,Township of Wayne,NJ1614001,manual
